target_id	length	eff_length	est_counts	tpm
ENSDART00000189226.1	10	5	0	0
ENSDART00000189431.1	11	6	0	0
ENSDART00000160762.2	345	156.381	0	0
ENSDART00000170804.2	366	175.706	4	0.216846
ENSDART00000165410.2	350	161.01	0	0
ENSDART00000163675.2	339	150.93	0	0
ENSDART00000171132.2	338	149.987	0	0
ENSDART00000172037.2	344	155.475	18	1.10278
ENSDART00000161368.2	354	164.618	0	0
ENSDART00000172374.2	355	165.531	1	0.0575435
ENSDART00000167067.2	378	186.909	7	0.356733
ENSDART00000161271.2	334	146.406	2	0.130121
ENSDART00000163938.2	366	175.706	0	0
ENSDART00000161622.2	445	251.17	1	0.0379236
ENSDART00000162257.2	426	232.629	0	0
ENSDART00000158119.2	318	132.38	0	0
ENSDART00000169491.2	387	195.314	6	0.292614
ENSDART00000172528.2	396	203.856	0	0
ENSDART00000166253.2	411	218.154	0	0
ENSDART00000160948.2	323	136.718	3	0.209012
ENSDART00000161537.2	377	185.946	0	0
ENSDART00000159235.2	348	159.199	0	0
ENSDART00000171772.2	483	288.528	10	0.330133
ENSDART00000167404.2	357	167.373	5	0.284551
ENSDART00000171344.2	462	267.839	0	0
ENSDART00000168039.2	470	275.687	11	0.380061
ENSDART00000157830.2	431	237.542	0	0
ENSDART00000166182.2	372	181.279	0	0
ENSDART00000167805.2	378	186.909	5	0.254809
ENSDART00000159795.2	419	225.876	0	0
ENSDART00000160202.2	378	186.909	0	0
ENSDART00000163851.2	330	142.886	5	0.333316
ENSDART00000161463.2	417	223.942	3	0.127603
ENSDART00000164491.2	366	175.706	0	0
ENSDART00000158772.2	348	159.199	5	0.299162
ENSDART00000167409.2	420	226.843	0	0
ENSDART00000160204.2	348	159.199	17	1.01715
ENSDART00000166882.2	420	226.843	2	0.0839811
ENSDART00000171020.2	383	191.576	0	0
ENSDART00000162456.2	366	175.706	2	0.108423
ENSDART00000164309.2	390	198.153	1	0.0480701
ENSDART00000160996.2	369	178.489	3	0.160098
ENSDART00000166892.2	332	144.631	11	0.724449
ENSDART00000171613.2	393	201.03	7	0.331675
ENSDART00000164961.2	357	167.373	2	0.113821
ENSDART00000164492.2	396	203.856	0	0
ENSDART00000158814.2	396	203.856	0	0
ENSDART00000171201.2	397	204.805	2	0.0930177
ENSDART00000164110.2	399	206.694	0	0
ENSDART00000166029.2	381	189.728	0	0
ENSDART00000165676.2	371	180.355	0	0
ENSDART00000163282.2	342	153.673	7	0.433886
ENSDART00000167496.2	346	157.302	4.04108	0.244703
ENSDART00000164659.2	404	211.503	1	0.045036
ENSDART00000164489.2	350	161.01	0	0
ENSDART00000160625.2	413	220.062	8	0.346275
ENSDART00000169436.2	387	195.314	8	0.390151
ENSDART00000170399.2	380	188.774	0	0
ENSDART00000162378.2	358	168.293	7.952	0.450076
ENSDART00000169864.2	389	197.222	0	0
ENSDART00000164059.2	336	148.175	2	0.128567
ENSDART00000168607.2	375	184.093	6	0.310449
ENSDART00000161399.2	381	189.728	1	0.0502049
ENSDART00000171483.2	397	204.805	2.048	0.09525
ENSDART00000171356.2	339	150.93	4	0.252441
ENSDART00000172182.2	413	220.062	8	0.346275
ENSDART00000113019.3	414	221.024	0	0
ENSDART00000170523.2	375	184.093	1	0.0517414
ENSDART00000160187.2	385	193.381	0	0
ENSDART00000114271.4	416	222.975	12	0.512627
ENSDART00000159161.2	423	229.714	0	0
ENSDART00000162061.2	314	128.934	18.9589	1.40063
ENSDART00000169803.2	998	802.54	5	0.0593444
ENSDART00000170923.2	1670	1474.54	0	0
ENSDART00000171190.2	3169	2973.54	157.018	0.502981
ENSDART00000165811.2	556	360.944	2	0.0527797
ENSDART00000167950.2	667	471.625	10.7838	0.217798
ENSDART00000007487.9	873	677.573	770	10.8246
ENSDART00000162972.3	1568	1372.54	182.849	1.26895
ENSDART00000171570.2	1371	1175.54	0	0
ENSDART00000168177.2	3370	3174.54	187.94	0.563916
ENSDART00000182440.1	3291	3095.54	78.2044	0.240642
ENSDART00000162709.3	4761	4565.54	4028.99	8.40583
ENSDART00000125149.3	3218	3022.54	0	0
ENSDART00000168926.2	1724	1528.54	4509	28.0983
ENSDART00000169180.2	3210	3014.54	3032	9.58042
ENSDART00000165795.2	1002	806.54	13.1565	0.155378
ENSDART00000079649.6	641	445.648	2.84352	0.0607772
ENSDART00000160925.2	4365	4169.54	835.865	1.90952
ENSDART00000188827.1	4409	4213.54	4.65839	0.0105309
ENSDART00000171098.2	437	243.413	11	0.430454
ENSDART00000159824.2	734	538.59	61	1.07882
ENSDART00000162187.2	63	21.8548	0	0
ENSDART00000161350.2	63	21.8548	0	0
ENSDART00000193555.1	66	21.9718	4	1.73408
ENSDART00000161459.2	60	21.7593	3	1.31327
ENSDART00000184586.1	66	21.9718	2	0.867042
ENSDART00000193441.1	66	21.9718	0	0
ENSDART00000185019.1	66	21.9718	5	2.16761
ENSDART00000171681.2	60	21.7593	0	0
ENSDART00000165172.2	63	21.8548	5	2.17921
ENSDART00000170440.2	46	17.8125	2	1.0695
ENSDART00000168126.2	57	20.38	0	0
ENSDART00000182863.1	63	21.8548	0	0
ENSDART00000166020.2	66	21.9718	0	0
ENSDART00000190775.1	66	21.9718	0	0
ENSDART00000167303.2	63	21.8548	0	0
ENSDART00000157393.2	52	18.7857	1	0.507048
ENSDART00000166828.2	63	21.8548	4	1.74337
ENSDART00000159011.2	63	21.8548	0	0
ENSDART00000190235.1	66	21.9718	0	0
ENSDART00000190038.1	399	206.694	10.8366	0.499395
ENSDART00000164894.2	66	21.9718	0	0
ENSDART00000170926.2	63	21.8548	5	2.17921
ENSDART00000166210.2	60	21.7593	0	0
ENSDART00000170448.2	57	20.38	0	0
ENSDART00000171447.2	49	18.6667	0	0
ENSDART00000164734.2	55	19.617	3	1.45668
ENSDART00000167581.2	57	20.38	0	0
ENSDART00000185656.1	66	21.9718	0	0
ENSDART00000186087.1	63	21.8548	0	0
ENSDART00000168960.2	63	21.8548	0	0
ENSDART00000161571.2	57	20.38	0	0
ENSDART00000161136.2	63	21.8548	0	0
ENSDART00000161763.2	63	21.8548	6	2.61505
ENSDART00000170691.2	63	21.8548	0	0
ENSDART00000191731.1	63	21.8548	0	0
ENSDART00000113547.3	903	707.54	0	0
ENSDART00000159055.2	66	21.9718	6	2.60113
ENSDART00000158148.2	63	21.8548	0	0
ENSDART00000167576.2	63	21.8548	7	3.05089
ENSDART00000162921.2	60	21.7593	2	0.875512
ENSDART00000182846.1	63	21.8548	0	0
ENSDART00000191760.1	63	21.8548	0	0
ENSDART00000162352.2	60	21.7593	1	0.437756
ENSDART00000166454.2	57	20.38	1	0.467382
ENSDART00000180943.1	63	21.8548	0	0
ENSDART00000172223.2	56	20.617	0	0
ENSDART00000166061.2	45	16.8125	1	0.566558
ENSDART00000171126.2	60	21.7593	0	0
ENSDART00000183757.1	63	21.8548	0	0
ENSDART00000159092.2	63	21.8548	0	0
ENSDART00000180403.1	63	21.8548	3	1.30753
ENSDART00000192804.1	63	21.8548	0	0
ENSDART00000167932.2	60	21.7593	1	0.437756
ENSDART00000190928.1	66	21.9718	2	0.867042
ENSDART00000158609.2	60	21.7593	0	0
ENSDART00000192441.1	63	21.8548	0.91965	0.400822
ENSDART00000187002.1	896	700.54	2.57557	0.0350201
ENSDART00000170206.2	61	21.2586	0	0
ENSDART00000159979.2	60	21.7593	2	0.875512
ENSDART00000193507.1	66	21.9718	1	0.433521
ENSDART00000159473.2	63	21.8548	4	1.74337
ENSDART00000166370.2	63	21.8548	1	0.435842
ENSDART00000181827.1	63	21.8548	0	0
ENSDART00000164120.2	63	21.8548	0	0
ENSDART00000168385.2	60	21.7593	0	0
ENSDART00000170860.2	63	21.8548	0	0
ENSDART00000160505.2	60	21.7593	0	0
ENSDART00000191315.1	976	780.54	0	0
ENSDART00000158978.2	907	711.54	4.66814	0.0624916
ENSDART00000159628.2	63	21.8548	0	0
ENSDART00000171914.2	63	21.8548	0	0
ENSDART00000190142.1	66	21.9718	0	0
ENSDART00000163969.2	49	18.6667	0	0
ENSDART00000161690.2	63	21.8548	0	0
ENSDART00000186687.1	63	21.8548	0	0
ENSDART00000161734.2	64	21.5303	0	0
ENSDART00000160963.2	63	21.8548	1	0.435842
ENSDART00000186681.1	66	21.9718	3	1.30056
ENSDART00000164889.2	63	21.8548	0	0
ENSDART00000160161.2	46	17.8125	4	2.139
ENSDART00000162964.2	49	18.6667	5	2.55141
ENSDART00000131829.2	803	607.59	1527.48	23.9465
ENSDART00000144883.3	780	584.59	1151.52	18.7627
ENSDART00000156963.2	2986	2790.54	1135.54	3.87605
ENSDART00000161066.2	1110	914.54	0	0
ENSDART00000137179.2	1872	1676.54	464.136	2.63698
ENSDART00000100744.4	2099	1903.54	527.432	2.63925
ENSDART00000160393.2	1044	848.54	0	0
ENSDART00000167980.2	834	638.59	3037	45.3001
ENSDART00000067621.6	4363	4167.54	1231.3	2.81424
ENSDART00000165084.2	5190	4994.54	525.165	1.00156
ENSDART00000162322.2	873	677.573	138	1.93999
ENSDART00000190378.1	609	413.69	0	0
ENSDART00000144327.3	1479	1283.54	20.7668	0.154112
ENSDART00000173911.2	412	219.095	0	0
ENSDART00000178732.2	2977	2781.54	107.377	0.367708
ENSDART00000164747.2	1359	1163.54	100.193	0.820225
ENSDART00000162001.2	500	305.362	34.2029	1.0669
ENSDART00000103397.6	1933	1737.54	1711	9.37976
ENSDART00000113661.4	4484	4288.54	129	0.286521
ENSDART00000052422.3	1265	1069.54	990	8.81688
ENSDART00000047912.9	1997	1801.54	2093	11.0663
ENSDART00000154987.3	8955	8759.54	2871.43	3.12244
ENSDART00000108999.4	2067	1871.54	144.415	0.735004
ENSDART00000080347.6	1924	1728.54	312.298	1.72094
ENSDART00000123238.3	2118	1922.54	188.178	0.93233
ENSDART00000137120.2	456	261.949	0	0
ENSDART00000049291.5	2868	2672.54	1166.8	4.15862
ENSDART00000147621.2	757	561.59	182.2	3.09033
ENSDART00000156885.2	7386	7190.54	1920.05	2.54347
ENSDART00000157087.2	665	469.625	7.01242	0.142231
ENSDART00000176637.2	3999	3803.54	808.941	2.02584
ENSDART00000159554.2	1007	811.54	9.06182	0.106361
ENSDART00000192041.1	525	330.138	0	0
ENSDART00000184520.1	837	641.59	0	0
ENSDART00000024330.9	3903	3707.54	373.508	0.959601
ENSDART00000173945.2	452	258.045	29.6973	1.09622
ENSDART00000172251.2	1479	1283.54	54.7945	0.406635
ENSDART00000155746.3	2001	1805.54	3766.87	19.8724
ENSDART00000154158.2	1350	1154.54	836.274	6.89948
ENSDART00000180571.1	1908	1712.54	0	0
ENSDART00000189685.1	622	426.68	507.858	11.3375
ENSDART00000135009.2	659	463.637	20.9744	0.430912
ENSDART00000139795.2	1951	1755.54	899.114	4.87843
ENSDART00000190366.1	1293	1097.54	77.9118	0.676176
ENSDART00000136751.2	726	530.59	19	0.341092
ENSDART00000146364.3	4345	4149.54	183.179	0.420487
ENSDART00000175207.2	5260	5064.54	287.821	0.541326
ENSDART00000140924.2	1187	991.54	393.792	3.78297
ENSDART00000066782.7	1940	1744.54	484.208	2.64379
ENSDART00000163816.2	2323	2127.54	4.90009	0.0219383
ENSDART00000163956.2	2431	2235.54	23.7454	0.101175
ENSDART00000129910.3	980	784.54	160.429	1.9478
ENSDART00000139974.2	835	639.59	27.7973	0.413979
ENSDART00000030773.5	5649	5453.54	6996.53	12.2203
ENSDART00000171701.2	2346	2150.54	22	0.0974432
