target_id	length	eff_length	est_counts	tpm
ENSDART00000189226.1	10	4.33333	0	0
ENSDART00000189431.1	11	5.33333	0	0
ENSDART00000160762.2	345	153.253	5	0.514657
ENSDART00000170804.2	366	172.006	0	0
ENSDART00000165410.2	350	157.734	0	0
ENSDART00000163675.2	339	148.008	1	0.106579
ENSDART00000171132.2	338	147.137	11	1.17931
ENSDART00000172037.2	344	152.361	13	1.34595
ENSDART00000161368.2	354	161.327	0	0
ENSDART00000172374.2	355	162.183	5	0.48632
ENSDART00000167067.2	378	182.915	1	0.08624
ENSDART00000161271.2	334	143.676	0	0
ENSDART00000163938.2	366	172.006	2	0.183419
ENSDART00000161622.2	445	245.512	0	0
ENSDART00000162257.2	426	227.398	7	0.485588
ENSDART00000158119.2	318	129.965	2	0.24275
ENSDART00000169491.2	387	191.032	5	0.412877
ENSDART00000172528.2	396	199.376	1	0.0791197
ENSDART00000166253.2	411	213.206	0	0
ENSDART00000160948.2	323	134.236	0	0
ENSDART00000161537.2	377	182	3	0.26002
ENSDART00000159235.2	348	155.936	0	0
ENSDART00000171772.2	483	282.169	0	0
ENSDART00000167404.2	357	163.978	6	0.577196
ENSDART00000171344.2	462	261.884	16.7668	1.00994
ENSDART00000168039.2	470	269.591	10.2332	0.598777
ENSDART00000157830.2	431	232.131	9	0.611599
ENSDART00000166182.2	372	177.406	4	0.355671
ENSDART00000167805.2	378	182.915	4	0.34496
ENSDART00000159795.2	419	220.794	0	0
ENSDART00000160202.2	378	182.915	0	0
ENSDART00000163851.2	330	140.188	4	0.450096
ENSDART00000161463.2	417	218.883	5	0.360342
ENSDART00000164491.2	366	172.006	2	0.183419
ENSDART00000158772.2	348	155.936	10	1.0116
ENSDART00000167409.2	420	221.758	0	0
ENSDART00000160204.2	348	155.936	22	2.22553
ENSDART00000166882.2	420	221.758	4.6477e-07	3.3061e-08
ENSDART00000171020.2	383	187.37	4	0.336757
ENSDART00000162456.2	366	172.006	4	0.366837
ENSDART00000164309.2	390	193.795	0	0
ENSDART00000160996.2	369	174.732	1	0.0902784
ENSDART00000166892.2	332	141.928	27	3.00092
ENSDART00000171613.2	393	196.56	11	0.882784
ENSDART00000164961.2	357	163.978	0	0
ENSDART00000164492.2	396	199.376	5	0.395598
ENSDART00000158814.2	396	199.376	8	0.632958
ENSDART00000171201.2	397	200.272	0	0
ENSDART00000164110.2	399	202.129	7	0.546294
ENSDART00000166029.2	381	185.565	3	0.255025
ENSDART00000165676.2	371	176.494	0	0
ENSDART00000163282.2	342	150.603	5	0.523712
ENSDART00000167496.2	346	154.167	12	1.22786
ENSDART00000164659.2	404	206.76	0	0
ENSDART00000164489.2	350	157.734	0	0
ENSDART00000160625.2	413	215.078	0	0
ENSDART00000169436.2	387	191.032	14	1.15605
ENSDART00000170399.2	380	184.661	0	0
ENSDART00000162378.2	358	164.868	8.36603	0.800462
ENSDART00000169864.2	389	192.848	0	0
ENSDART00000164059.2	336	145.418	0	0
ENSDART00000168607.2	375	180.13	0	0
ENSDART00000161399.2	381	185.565	0	0
ENSDART00000171483.2	397	200.272	3.63397	0.286232
ENSDART00000171356.2	339	148.008	1	0.106579
ENSDART00000172182.2	413	215.078	11	0.806778
ENSDART00000113019.3	414	216.043	0	0
ENSDART00000170523.2	375	180.13	3	0.26272
ENSDART00000160187.2	385	189.199	8	0.667003
ENSDART00000114271.4	416	217.937	11	0.796195
ENSDART00000159161.2	423	224.606	5	0.35116
ENSDART00000162061.2	314	126.584	3	0.373851
ENSDART00000169803.2	998	795.102	8	0.158717
ENSDART00000170923.2	1670	1467.1	0	0
ENSDART00000171190.2	3169	2966.1	177.524	0.94412
ENSDART00000165811.2	556	353.789	7	0.312113
ENSDART00000167950.2	667	464.275	8.15293	0.27701
ENSDART00000007487.9	873	670.102	560	13.1827
ENSDART00000162972.3	1568	1365.1	90.2958	1.04342
ENSDART00000171570.2	1371	1168.1	0	0
ENSDART00000168177.2	3370	3167.1	46.4477	0.231345
ENSDART00000182440.1	3291	3088.1	80.7895	0.412686
ENSDART00000162709.3	4761	4558.1	2659.75	9.20479
ENSDART00000125149.3	3218	3015.1	0	0
ENSDART00000168926.2	1724	1521.1	1718	17.8165
ENSDART00000169180.2	3210	3007.1	3835	20.1175
ENSDART00000165795.2	1002	799.102	2.21517	0.0437282
ENSDART00000079649.6	641	438.361	0.784833	0.0282425
ENSDART00000160925.2	4365	4162.1	400.804	1.51907
ENSDART00000188827.1	4409	4206.1	0	0
ENSDART00000171098.2	437	237.858	0	0
ENSDART00000159824.2	734	531.184	30	0.890909
ENSDART00000162187.2	63	19.0556	0	0
ENSDART00000161350.2	63	19.0556	0	0
ENSDART00000193555.1	66	19.8025	18	14.3387
ENSDART00000161459.2	60	18.7581	8	6.72758
ENSDART00000184586.1	66	19.8025	4	3.18638
ENSDART00000193441.1	66	19.8025	5	3.98298
ENSDART00000185019.1	66	19.8025	1	0.796595
ENSDART00000171681.2	60	18.7581	4	3.36379
ENSDART00000165172.2	63	19.0556	2	1.65564
ENSDART00000170440.2	46	16.9355	9	8.38305
ENSDART00000168126.2	57	18.566	5	4.24823
ENSDART00000182863.1	63	19.0556	2	1.65564
ENSDART00000166020.2	66	19.8025	0	0
ENSDART00000190775.1	66	19.8025	0	0
ENSDART00000167303.2	63	19.0556	1	0.827819
ENSDART00000157393.2	52	17.8571	2	1.76675
ENSDART00000166828.2	63	19.0556	3	2.48346
ENSDART00000159011.2	63	19.0556	0	0
ENSDART00000190235.1	66	19.8025	0	0
ENSDART00000190038.1	399	202.129	0	0
ENSDART00000164894.2	66	19.8025	0	0
ENSDART00000170926.2	63	19.0556	1	0.827819
ENSDART00000166210.2	60	18.7581	0	0
ENSDART00000170448.2	57	18.566	0	0
ENSDART00000171447.2	49	16.6053	5	4.74986
ENSDART00000164734.2	55	19.6	2	1.60965
ENSDART00000167581.2	57	18.566	1	0.849646
ENSDART00000185656.1	66	19.8025	0	0
ENSDART00000186087.1	63	19.0556	0	0
ENSDART00000168960.2	63	19.0556	0	0
ENSDART00000161571.2	57	18.566	0	0
ENSDART00000161136.2	63	19.0556	2	1.65564
ENSDART00000161763.2	63	19.0556	5	4.1391
ENSDART00000170691.2	63	19.0556	5	4.1391
ENSDART00000191731.1	63	19.0556	12	9.93383
ENSDART00000113547.3	903	700.102	0	0
ENSDART00000159055.2	66	19.8025	0	0
ENSDART00000158148.2	63	19.0556	1	0.827819
ENSDART00000167576.2	63	19.0556	9	7.45037
ENSDART00000162921.2	60	18.7581	5	4.20474
ENSDART00000182846.1	63	19.0556	5	4.1391
ENSDART00000191760.1	63	19.0556	0	0
ENSDART00000162352.2	60	18.7581	0	0
ENSDART00000166454.2	57	18.566	0	0
ENSDART00000180943.1	63	19.0556	0	0
ENSDART00000172223.2	56	19	0	0
ENSDART00000166061.2	45	18.2963	2	1.72434
ENSDART00000171126.2	60	18.7581	0	0
ENSDART00000183757.1	63	19.0556	0	0
ENSDART00000159092.2	63	19.0556	0	0
ENSDART00000180403.1	63	19.0556	3	2.48346
ENSDART00000192804.1	63	19.0556	0	0
ENSDART00000167932.2	60	18.7581	2	1.6819
ENSDART00000190928.1	66	19.8025	0	0
ENSDART00000158609.2	60	18.7581	7	5.88663
ENSDART00000192441.1	63	19.0556	0	0
ENSDART00000187002.1	896	693.102	10.8188	0.24623
ENSDART00000170206.2	61	18.6212	1	0.847128
ENSDART00000159979.2	60	18.7581	3	2.52284
ENSDART00000193507.1	66	19.8025	5	3.98298
ENSDART00000159473.2	63	19.0556	4	3.31128
ENSDART00000166370.2	63	19.0556	6	4.96691
ENSDART00000181827.1	63	19.0556	12	9.93383
ENSDART00000164120.2	63	19.0556	0	0
ENSDART00000168385.2	60	18.7581	0	0
ENSDART00000170860.2	63	19.0556	0	0
ENSDART00000160505.2	60	18.7581	0	0
ENSDART00000191315.1	976	773.102	5.7936	0.118214
ENSDART00000158978.2	907	704.102	4.50962	0.101033
ENSDART00000159628.2	63	19.0556	0.877953	0.726786
ENSDART00000171914.2	63	19.0556	4	3.31128
ENSDART00000190142.1	66	19.8025	19	15.1353
ENSDART00000163969.2	49	16.6053	3	2.84992
ENSDART00000161690.2	63	19.0556	0	0
ENSDART00000186687.1	63	19.0556	0	0
ENSDART00000161734.2	64	19.5405	8	6.45818
ENSDART00000160963.2	63	19.0556	3	2.48346
ENSDART00000186681.1	66	19.8025	1	0.796595
ENSDART00000164889.2	63	19.0556	4	3.31128
ENSDART00000160161.2	46	16.9355	8	7.4516
ENSDART00000162964.2	49	16.6053	2	1.89995
ENSDART00000131829.2	803	600.153	530.551	13.9451
ENSDART00000144883.3	780	577.169	430.449	11.7646
ENSDART00000156963.2	2986	2783.1	868.836	4.92454
ENSDART00000161066.2	1110	907.102	0	0
ENSDART00000137179.2	1872	1669.1	320.301	3.02714
ENSDART00000100744.4	2099	1896.1	369.633	3.07515
ENSDART00000160393.2	1044	841.102	0	0
ENSDART00000167980.2	834	631.136	1456	36.3911
ENSDART00000067621.6	4363	4160.1	1081.6	4.10129
ENSDART00000165084.2	5190	4987.1	664.525	2.10194
ENSDART00000162322.2	873	670.102	109	2.56592
ENSDART00000190378.1	609	406.496	0	0
ENSDART00000144327.3	1479	1276.1	7.34239	0.090763
ENSDART00000173911.2	412	214.13	0	0
ENSDART00000178732.2	2977	2774.1	123.894	0.704504
ENSDART00000164747.2	1359	1156.1	58.7206	0.801219
ENSDART00000162001.2	500	298.787	36.2374	1.91316
ENSDART00000103397.6	1933	1730.1	953	8.68917
ENSDART00000113661.4	4484	4281.1	54	0.198973
ENSDART00000052422.3	1265	1062.1	322	4.78241
ENSDART00000047912.9	1997	1794.1	1715	15.0791
ENSDART00000154987.3	8955	8752.1	5019.73	9.04742
ENSDART00000108999.4	2067	1864.1	27.526	0.232933
ENSDART00000080347.6	1924	1721.1	260.433	2.38696
ENSDART00000123238.3	2118	1915.1	101.864	0.839046
ENSDART00000137120.2	456	256.107	2.60352	0.16036
ENSDART00000049291.5	2868	2665.1	73.6554	0.435961
ENSDART00000147621.2	757	554.184	16.7411	0.476526
ENSDART00000156885.2	7386	7183.1	126.703	0.278249
ENSDART00000157087.2	665	462.288	5	0.170614
ENSDART00000176637.2	3999	3796.1	53.2965	0.221472
ENSDART00000159554.2	1007	804.102	4.76342	0.093447
ENSDART00000192041.1	525	323.231	0	0
ENSDART00000184520.1	837	634.119	0	0
ENSDART00000024330.9	3903	3700.1	181.977	0.775818
ENSDART00000173945.2	452	252.23	9.68189	0.605508
ENSDART00000172251.2	1479	1276.1	3.34121	0.0413024
ENSDART00000155746.3	2001	1798.1	2594.76	22.7636
ENSDART00000154158.2	1350	1147.1	541.698	7.44925
ENSDART00000180571.1	1908	1705.1	0	0
ENSDART00000189685.1	622	419.441	49.5394	1.86311
ENSDART00000135009.2	659	456.312	25.4366	0.879334
ENSDART00000139795.2	1951	1748.1	409.13	3.69192
ENSDART00000190366.1	1293	1090.1	21.4332	0.310154
ENSDART00000136751.2	726	523.184	12	0.361813
ENSDART00000146364.3	4345	4142.1	21.258	0.0809578
ENSDART00000175207.2	5260	5057.1	49.742	0.15516
ENSDART00000140924.2	1187	984.102	234.547	3.75965
ENSDART00000066782.7	1940	1737.1	251.453	2.28343
ENSDART00000163816.2	2323	2120.1	4.42814	0.0329474
ENSDART00000163956.2	2431	2228.1	31.5975	0.223705
ENSDART00000129910.3	980	777.102	70.4412	1.4299
ENSDART00000139974.2	835	632.136	0	0
ENSDART00000030773.5	5649	5446.1	3827.02	11.0849
ENSDART00000171701.2	2346	2143.1	34	0.250261
ENSDART00000097522.5	1492	1289.1	294	3.59764
ENSDART00000127483.4	5851	5648.1	817.749	2.28389
ENSDART00000183613.1	846	643.119	8.15017	0.199909
ENSDART00000142998.4	12194	11991.1	109.071	0.143486
ENSDART00000182436.1	120	16.9535	0	0
ENSDART00000159675.3	1533	1330.1	110	1.30456
ENSDART00000156526.3	3267	3064.1	259.31	1.33497
ENSDART00000113185.4	3130	2927.1	412.69	2.22404
ENSDART00000148548.3	1617	1414.1	23.1546	0.258293
ENSDART00000171123.2	1156	953.102	298.587	4.94183
ENSDART00000148879.2	651	448.349	117.259	4.12559
ENSDART00000145410.2	2756	2553.1	914	5.64722
ENSDART00000149204.3	1221	1018.1	74.7831	1.1587
ENSDART00000153303.2	280	98.8744	0	0
ENSDART00000149732.4	871	668.102	75.0811	1.77274
ENSDART00000153121.2	368	173.81	36.9314	3.35181
ENSDART00000090171.4	4438	4235.1	199	0.741218
ENSDART00000132028.3	1779	1576.1	904.92	9.05697
ENSDART00000057257.5	816	613.153	0	0
ENSDART00000057697.6	1756	1553.1	180.08	1.82903
ENSDART00000164426.2	1045	842.102	0	0
ENSDART00000017850.9	1583	1380.1	508	5.80644
ENSDART00000161797.3	1006	803.102	42.8505	0.84167
ENSDART00000173668.2	888	685.102	0	0
ENSDART00000173934.2	1118	915.102	7.14953	0.123244
ENSDART00000124091.3	653	450.337	25	0.875709
ENSDART00000163388.2	199	42.8464	0	0
ENSDART00000146315.3	2622	2419.1	1302	8.49013
ENSDART00000021121.8	1181	978.102	174.569	2.8154
ENSDART00000183937.1	893	690.102	226.118	5.16867
ENSDART00000111512.4	6213	6010.1	251.684	0.660589
ENSDART00000172678.2	1110	907.102	43.7156	0.760218
ENSDART00000151899.2	2789	2586.1	280.929	1.71359
ENSDART00000152066.2	838	635.119	0	0
ENSDART00000041577.8	5802	5599.1	4113.4	11.5888
ENSDART00000166519.2	588	385.602	18.4127	0.753243
ENSDART00000147618.2	808	605.153	81.6698	2.12889
ENSDART00000142716.2	673	470.25	114.295	3.83403
ENSDART00000007053.9	2128	1925.1	1941.04	15.9051
ENSDART00000126984.3	954	751.102	298.799	6.27534
ENSDART00000124920.4	6674	6471.1	323.867	0.789488
ENSDART00000162639.3	1596	1393.1	13	0.147203
ENSDART00000186786.1	7484	7281.1	1680.1	3.63995
ENSDART00000147034.2	2816	2613.1	106.75	0.644418
ENSDART00000021092.9	2140	1937.1	933	7.59777
ENSDART00000101204.4	3078	2875.1	5813	31.8936
ENSDART00000167332.2	675	472.25	2	0.0668059
ENSDART00000168861.2	670	467.275	0	0
ENSDART00000143325.2	2207	2004.1	204.076	1.60631
ENSDART00000076696.6	2396	2193.1	188.648	1.35691
ENSDART00000140081.2	6779	6576.1	1762.65	4.22819
ENSDART00000164542.2	1924	1721.1	3.20146	0.0293426
ENSDART00000138182.3	6809	6606.1	1528.94	3.65091
ENSDART00000076687.4	2125	1922.1	71.0682	0.583252
ENSDART00000136342.3	1210	1007.1	154.078	2.41337
ENSDART00000154863.2	501	299.731	17.947	0.944535
ENSDART00000055611.7	981	778.102	483.307	9.79813
ENSDART00000173471.2	785	582.169	0	0
ENSDART00000173809.2	2802	2599.1	0	0
ENSDART00000052906.6	6837	6634.1	829.828	1.97316
ENSDART00000183048.1	4342	4139.1	60.5307	0.230689
ENSDART00000181577.1	4441	4238.1	215.597	0.80247
ENSDART00000170597.2	4489	4286.1	727.341	2.6769
ENSDART00000172709.2	4638	4435.1	1675.2	5.95829
ENSDART00000170143.2	2477	2274.1	0	0
ENSDART00000164348.2	2415	2212.1	0	0
