




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster2.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster2.txt (552)	cluster2.txt (expected)	cluster2.txt (over/under)	cluster2.txt (fold Enrichment)	cluster2.txt (raw P-value)	cluster2.txt (FDR)
transdifferentiation (GO:0060290)	2	2	.05	+	42.09	3.13E-03	1.17E-01
subthalamus development (GO:0021539)	1	1	.02	+	42.09	4.59E-02	8.46E-01
positive regulation of intermediate filament depolymerization (GO:0030844)	1	1	.02	+	42.09	4.59E-02	8.44E-01
regulation of intermediate filament depolymerization (GO:0030842)	1	1	.02	+	42.09	4.59E-02	8.43E-01
maintenance of permeability of blood-brain barrier (GO:0035633)	1	1	.02	+	42.09	4.59E-02	8.41E-01
vestibular receptor cell stereocilium organization (GO:0060121)	1	1	.02	+	42.09	4.59E-02	8.39E-01
vestibular receptor cell morphogenesis (GO:0060116)	1	1	.02	+	42.09	4.59E-02	8.37E-01
endoplasmic reticulum stress-induced pre-emptive quality control (GO:0061857)	1	1	.02	+	42.09	4.59E-02	8.35E-01
pelvic fin development (GO:0033340)	2	2	.05	+	42.09	3.13E-03	1.16E-01
regulation of synaptic transmission, glycinergic (GO:0060092)	1	1	.02	+	42.09	4.59E-02	8.34E-01
cell cycle comprising mitosis without cytokinesis (GO:0033301)	1	1	.02	+	42.09	4.59E-02	8.32E-01
melanin biosynthetic process from tyrosine (GO:0006583)	1	1	.02	+	42.09	4.59E-02	8.30E-01
negative regulation of lens fiber cell differentiation (GO:1902747)	1	1	.02	+	42.09	4.59E-02	8.28E-01
deoxyribonucleoside metabolic process (GO:0009120)	1	1	.02	+	42.09	4.59E-02	8.27E-01
epithelial cell maturation (GO:0002070)	1	1	.02	+	42.09	4.59E-02	8.25E-01
positive regulation of neuroblast proliferation (GO:0002052)	1	1	.02	+	42.09	4.59E-02	8.23E-01
regulation of intermediate filament polymerization or depolymerization (GO:0045108)	1	1	.02	+	42.09	4.59E-02	8.21E-01
atrioventricular canal morphogenesis (GO:1905222)	1	1	.02	+	42.09	4.59E-02	8.20E-01
positive regulation of stem cell proliferation (GO:2000648)	1	1	.02	+	42.09	4.59E-02	8.18E-01
posterior lateral line neuromast mantle cell differentiation (GO:0048924)	1	1	.02	+	42.09	4.59E-02	8.16E-01
histone H3-K4 demethylation (GO:0034720)	1	1	.02	+	42.09	4.59E-02	8.15E-01
regulation of primitive erythrocyte differentiation (GO:0010725)	1	1	.02	+	42.09	4.59E-02	8.13E-01
